"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 11 20:31:32 GMT 2025","Sat Jan 11 20:31:32 GMT 2025","281","","bassi.itau_unibanco.exerc5_itau_unibanco.service.ProdutoServiceTest","","bassi.itau_unibanco.exerc5_itau_unibanco.service.ProdutoServiceTest","atualizarProduto_DeveFalharQuandoIdNaoForEncontrado","Deve falhar ao atualizar produto quando ID não for encontrado.","Este teste verifica se o serviço de produtos lança uma exceção quando tenta atualizar um produto com um ID inexistente."
"passed","Sat Jan 11 20:31:33 GMT 2025","Sat Jan 11 20:31:33 GMT 2025","8","","bassi.itau_unibanco.exerc5_itau_unibanco.controller.ProdutoControllerTest","","bassi.itau_unibanco.exerc5_itau_unibanco.controller.ProdutoControllerTest","atualizarProduto_DeveAtualizarComSucesso","Deve permitir cadastro com preço inteiro positivo.","Valida que o sistema é capaz de atualizar as informações de um produto existente com sucesso, utilizando dados válidos."
"passed","Sat Jan 11 20:31:32 GMT 2025","Sat Jan 11 20:31:32 GMT 2025","24","","bassi.itau_unibanco.exerc5_itau_unibanco.service.ProdutoServiceTest","","bassi.itau_unibanco.exerc5_itau_unibanco.service.ProdutoServiceTest","atualizarProduto_DeveRetornarProdutoAtualizado","Deve atualizar produto e retornar produto com novos dados.","Este teste verifica se o serviço de produtos consegue atualizar corretamente um produto existente e retorna os novos dados."
"passed","Sat Jan 11 20:31:33 GMT 2025","Sat Jan 11 20:31:33 GMT 2025","7","","bassi.itau_unibanco.exerc5_itau_unibanco.controller.ProdutoControllerTest","","bassi.itau_unibanco.exerc5_itau_unibanco.controller.ProdutoControllerTest","cadastrarProduto_DeveCriarProdutoComSucesso","Deve permitir cadastro com preço igual a zero.","Valida o cadastro de um novo produto com informações válidas."
"passed","Sat Jan 11 20:31:33 GMT 2025","Sat Jan 11 20:31:33 GMT 2025","5","","bassi.itau_unibanco.exerc5_itau_unibanco.controller.ProdutoControllerTest","","bassi.itau_unibanco.exerc5_itau_unibanco.controller.ProdutoControllerTest","cadastrarProduto_DeveFalharQuandoDadosInvalidos","Não deve permitir ""categoria"" vazio.","Valida que a tentativa de cadastrar um produto com dados inválidos retorna erros adequados nos parâmetros informados."
"passed","Sat Jan 11 20:31:33 GMT 2025","Sat Jan 11 20:31:33 GMT 2025","6","","bassi.itau_unibanco.exerc5_itau_unibanco.controller.ProdutoControllerTest","","bassi.itau_unibanco.exerc5_itau_unibanco.controller.ProdutoControllerTest","cadastrarProduto_DeveFalharQuandoDadosInvalidos","Não deve permitir ""preco"" negativo.","Valida que a tentativa de cadastrar um produto com dados inválidos retorna erros adequados nos parâmetros informados."
"passed","Sat Jan 11 20:31:33 GMT 2025","Sat Jan 11 20:31:33 GMT 2025","5","","bassi.itau_unibanco.exerc5_itau_unibanco.controller.ProdutoControllerTest","","bassi.itau_unibanco.exerc5_itau_unibanco.controller.ProdutoControllerTest","listarProdutoPorId_DeveFalharQuandoParametroInvalido","Erro esperado ao listar produto com parâmetro ""id"" inválido.","Valida que a tentativa de buscar um produto com um ID inválido retorna erro conforme esperado."
"passed","Sat Jan 11 20:31:33 GMT 2025","Sat Jan 11 20:31:33 GMT 2025","7","","bassi.itau_unibanco.exerc5_itau_unibanco.controller.ProdutoControllerTest","","bassi.itau_unibanco.exerc5_itau_unibanco.controller.ProdutoControllerTest","atualizarProduto_DeveFalharQuandoDadosInvalidos","Não deve permitir nenhum parâmetro nulo.","Valida que o sistema retorna um erro ao tentar atualizar um produto com dados inválidos."
"passed","Sat Jan 11 20:31:32 GMT 2025","Sat Jan 11 20:31:32 GMT 2025","4","","bassi.itau_unibanco.exerc5_itau_unibanco.service.ProdutoServiceTest","","bassi.itau_unibanco.exerc5_itau_unibanco.service.ProdutoServiceTest","listarProdutoPorId_DeveLancarErroQuandoProdutoNaoEncontrado","Deve lançar exceção quando produto não for encontrado pelo ID.","Este teste verifica se o serviço de produtos lança uma exceção quando um ID inválido (não encontrado) é fornecido."
"passed","Sat Jan 11 20:31:33 GMT 2025","Sat Jan 11 20:31:33 GMT 2025","6","","bassi.itau_unibanco.exerc5_itau_unibanco.controller.ProdutoControllerTest","","bassi.itau_unibanco.exerc5_itau_unibanco.controller.ProdutoControllerTest","cadastrarProduto_DeveFalharQuandoDadosInvalidos","Não deve permitir nenhum parâmetro nulo.","Valida que a tentativa de cadastrar um produto com dados inválidos retorna erros adequados nos parâmetros informados."
